run_id,algorithm,optimizer,seed,N_local,M_blocks,n_total,p,lambda,runtime_sec,best_profit,classical_opt_profit,num_samples_total,num_samples_feasible,num_samples_postselected,num_objective_evals,num_qubits,circuit_depth,two_qubit_gate_count,solution_path,history_path,notes
classical_na_na_n10_m3_pna_20260405T083316Z,classical,,,10,3,30,,,0.04525069997180253,1551.731433516,1551.731433516,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n10_m3_pna_20260405T083316Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n10_m3_pna_20260405T083316Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
classical_na_na_n10_m3_pna_20260405T083344Z,classical,,,10,3,30,,,0.03843930002767593,1551.731433516,1551.731433516,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n10_m3_pna_20260405T083344Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n10_m3_pna_20260405T083344Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
qaoa_local_spsa_n10_m3_p1_lamx3_687p146803-892p79632-1228p92575_20260405T083934Z,qaoa,spsa,0,10,3,30,1,"[687.1468032000001, 892.7963199999999, 1228.92575]",1525.929674199957,1170.728311108,1551.731433516,61440,6566,,240,15,,82,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n10_m3_p1_lamx3_687p146803-892p79632-1228p92575_20260405T083934Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n10_m3_p1_lamx3_687p146803-892p79632-1228p92575_20260405T083934Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_cobyla_n4_m2_p1_lamx2_687p146803-892p79632_20260405T093113Z,qaoa,cobyla,0,4,2,8,1,"[687.1468032000001, 892.7963199999999]",99.85672120004892,533.745812064,710.490566944,14336,2705,,56,7,,21,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n4_m2_p1_lamx2_687p146803-892p79632_20260405T093113Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n4_m2_p1_lamx2_687p146803-892p79632_20260405T093113Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; training_loss_plot=SOLUTIONS/HEURISTICS/plots/qaoa_local_cobyla_n4_m2_p1_lamx2_687p146803-892p79632_20260405T093113Z_training_loss.png; lambda stores one penalty value per package-local block
classical_na_na_n4_m2_pna_20260405T101543Z,classical,,,4,2,8,,,0.1370042999042198,710.490566944,710.490566944,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n4_m2_pna_20260405T101543Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n4_m2_pna_20260405T101543Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
qaoa_selene_spsa_n10_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T095019Z,qaoa,spsa,0,10,3,30,1,"[515.3601024000001, 669.5972399999999, 921.6943125]",3595.3351652000565,1171.146411972,1551.731433516,61440,6080,,240,15,,82,SOLUTIONS/HEURISTICS/solutions/qaoa_selene_spsa_n10_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T095019Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_selene_spsa_n10_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T095019Z_history.csv,execution_target=selene; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
classical_na_na_n5_m1_pna_20260405T093601Z,classical,,,5,1,5,,,0.07337654200091492,334.4018808,334.4018808,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n5_m1_pna_20260405T093601Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n5_m1_pna_20260405T093601Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
classical_na_na_n5_m2_pna_20260405T093602Z,classical,,,5,2,10,,,0.021527208999032155,710.490566944,710.490566944,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n5_m2_pna_20260405T093602Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n5_m2_pna_20260405T093602Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
qaoa_local_cobyla_n5_m1_p1_lam515p360102_20260405T093632Z,qaoa,cobyla,0,5,1,5,1,515.36010240000007,23.942835333000403,198.85612032000003,334.4018808,3072,557,,24,8,,28,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m1_p1_lam515p360102_20260405T093632Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m1_p1_lam515p360102_20260405T093632Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
qaoa_local_spsa_n5_m1_p1_lam515p360102_20260405T093657Z,qaoa,spsa,0,5,1,5,1,515.36010240000007,17.034436166999512,129.68002944000003,334.4018808,3072,439,,24,8,,28,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n5_m1_p1_lam515p360102_20260405T093657Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n5_m1_p1_lam515p360102_20260405T093657Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API
